drug1,drug2,side_effect,PRR
gadodiamide,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,8920.0
doxycycline,mifepristone,Abortion incomplete,5620.0
midazolam,aprotinin,Renal injury,4640.0
factor viii,factor ix,Hepatitis C virus,4230.0
epoetin alfa,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,3220.0
risperidone,paliperidone,Abnormal weight gain,3035.0
gadoversetamide,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,2770.0
cyclophosphamide,cyclosporine,Chronic graft versus host disease,2410.0
glucose,iothalamic acid,Acute kidney injury,2200.0
zoledronic acid,pamidronate,Primary sequestrum,2150.0
simvastatin,aprotinin,Renal injury,2140.0
midazolam,cefazolin,Renal injury,2130.0
butorphanol,promethazine,Dependence,2110.0
gadodiamide,metoprolol,Nephrogenic systemic fibrosis,2090.0
atorvastatin,aprotinin,Renal injury,1970.0
gadodiamide,gadoversetamide,Nephrogenic systemic fibrosis,1963.33
furosemide,aprotinin,Renal injury,1936.67
aspirin,aprotinin,Renal injury,1933.33
levonorgestrel,ibuprofen,Uterine perforation,1800.0
gadoversetamide,epoetin alfa,Nephrogenic systemic fibrosis,1780.0
warfarin,epoetin alfa,Nephrogenic systemic fibrosis,1700.0
melphalan,methotrexate,Acute graft versus host disease,1650.0
heparin,aprotinin,Renal injury,1634.0
levodopa,pramipexole,Pathological gambling,1590.0
aspirin,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,1580.0
ethinyl estradiol,metoclopramide,Cholecystitis chronic,1560.0
gadoteridol,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,1553.33
busulfan,methotrexate,Chronic graft versus host disease,1530.0
iothalamic acid,sodium chloride,Acute kidney injury,1475.0
stavudine,didanosine,Lipodystrophy acquired,1470.0
tacrolimus,mycophenolate mofetil,Polyomavirus-associated nephropathy,1450.0
furosemide,protamine sulfate (usp),Renal injury,1450.0
asparaginase,doxorubicin,Haematotoxicity,1390.0
acetylcysteine,sodium chloride,Acute kidney injury,1380.0
glucose,acetylcysteine,Acute kidney injury,1380.0
